 Pressure(dbar)  Temperature(°C)  Salinity(PSU)
     562.700012         9.568000      35.018002
     588.200012         9.374000      35.013000
     613.299988         9.190000      35.008999
     638.000000         8.968000      35.002998
     663.400024         8.756000      34.997002
     687.299988         8.607000      34.993000
     712.700012         8.458000      34.987999
     738.000000         8.285000      34.981998
     762.900024         8.100000      34.974998
     788.200012         7.937000      34.970001
     813.299988         7.765000      34.964001
     837.700012         7.570000      34.958000
     862.400024         7.382000      34.951000
     887.900024         7.223000      34.946999
     913.200012         7.047000      34.941002
     938.299988         6.883000      34.933998
     962.799988         6.721000      34.928001
     988.599976         6.568000      34.924999
    1012.900024         6.432000      34.919998
    1037.699951         6.306000      34.916000
    1062.699951         6.158000      34.909000
    1088.000000         6.023000      34.903000
    1113.000000         5.891000      34.897999
    1137.900024         5.748000      34.891998
    1163.000000         5.638000      34.888000
    1188.199951         5.556000      34.884998
    1213.099976         5.436000      34.881001
    1237.800049         5.314000      34.876999
    1263.199951         5.219000      34.873001
    1287.500000         5.116000      34.869999
    1312.699951         5.018000      34.866001
    1337.800049         4.929000      34.863998
    1362.599976         4.831000      34.860001
    1387.500000         4.703000      34.854000
    1412.699951         4.595000      34.849998
    1438.199951         4.476000      34.846001
    1463.199951         4.365000      34.842999
    1488.000000         4.236000      34.838001
    1513.000000         4.076000      34.831001
    1538.599976         3.957000      34.827000
    1562.900024         3.865000      34.823002
    1588.000000         3.760000      34.819000
    1613.099976         3.662000      34.814999
    1638.199951         3.546000      34.811001
    1663.199951         3.492000      34.807999
    1687.900024         3.419000      34.805000
    1712.599976         3.358000      34.801998
    1737.500000         3.306000      34.799999
    1762.599976         3.241000      34.797001
    1787.500000         3.150000      34.793999
    1812.699951         3.075000      34.790001
    1838.000000         3.014000      34.787998
    1862.699951         2.964000      34.785000
    1887.599976         2.900000      34.783001
    1912.599976         2.835000      34.779999
    1938.000000         2.788000      34.778000
    1963.000000         2.752000      34.776001
    1987.800049         2.707000      34.773998
    2006.800049         2.676000      34.772999
       0.100000        29.670000      32.458000
       0.800000        29.667999      32.457001
       1.900000        29.667000      32.452999
       3.000000        29.666000      32.449001
       3.900000        29.657000      32.453999
       4.800000        29.650000      32.464001
       5.900000        29.599001      32.464001
       6.900000        29.482000      32.480999
       7.800000        29.443001      32.513000
       8.900000        29.511000      32.700001
      10.000000        29.531000      32.787998
      15.400000        29.865000      33.185001
      25.600000        29.716000      33.397999
      35.500000        29.576000      33.418999
      45.799999        29.434000      33.410999
      55.400002        28.943001      33.382000
      65.300003        28.518999      33.495998
      75.699997        28.301001      33.695000
      85.000000        27.830000      34.074001
      95.699997        26.308001      34.414001
     105.400002        24.684000      34.521999
     115.400002        23.343000      34.661999
     125.099998        21.652000      34.695999
     135.399994        20.379999      34.715000
     145.399994        19.502001      34.737999
     155.500000        18.326000      34.808998
